35,1128,1

Ind,Pop,Camellia_SSR_320, , , , , ,Camellia_SSR_323, , , , , ,Camellia_SSR_522, , , , , ,Camellia_SSR_546, , , , , ,Camellia_SSR_421, , , , , ,Camellia_SSR_363, , , , , ,Camellia_SSR_123, , , , , ,Camellia_SSR_122, , , , , ,Camellia_SSR_264, , , , , ,Camellia_SSR_243, , , , , ,Camellia_SSR_224, , , , , ,Camellia_SSR_062, , , , , ,Camellia_SSR_089, , , , , ,Camellia_SSR_466, , , , , ,Camellia_SSR_083, , , , , ,Camellia_SSR_149, , , , , ,Camellia_SSR_617, , , , , ,Camellia_SSR_530, , , , , ,Camellia_SSR_433, , , , , ,Camellia_SSR_016Error, , , , , ,Camellia_SSR_300, , , , , ,Camellia_SSR_145, , , , , ,Camellia_SSR_290Error, , , , , ,Camellia_SSR_013, , , , , ,Camellia_SSR_069, , , , , ,Camellia_SSR_399, , , , , ,Camellia_SSR_491, , , , , ,Camellia_SSR_036, , , , , ,Camellia_SSR_214, , , , , ,Camellia_SSR_150, , , , , ,Camellia_SSR_212, , , , , ,Camellia_SSR_041Error, , , , , ,Camellia_SSR_158, , , , , ,Camellia_SSR_097, , , , , ,Camellia_SSR_094, , , , , ,
NL009,NL,2,3,5,5,5,6,4,4,5,5,6,6,5,5,5,5,5,6,2,2,2,2,5,6,4,4,4,4,4,4,5,5,5,5,5,5,3,5,5,7,8,9,6,6,6,7,8,8,3,3,3,3,3,5,5,5,5,5,5,6,5,5,5,5,5,5,4,5,5,5,7,7,3,3,5,7,10,12,5,5,5,5,5,5,4,4,4,4,6,7,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,7,8,11,6,6,6,6,6,6,5,6,7,7,8,9,5,5,5,5,5,7,4,6,6,9,9,9,5,5,5,10,10,11,4,4,4,5,6,7,4,4,6,6,7,7,4,4,4,4,4,4,3,4,5,5,5,5,4,5,5,6,7,8,0,0,0,0,0,0,2,3,4,4,6,7,3,5,6,6,6,6,8,8,8,8,8,8,5,5,5,6,9,9,2,3,4,4,5,5,5,5,5,7,7,7,
NL063,NL,2,2,5,6,6,7,5,5,5,5,5,6,5,5,5,5,5,5,5,5,6,6,6,8,4,4,4,4,4,4,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,8,3,3,5,5,6,6,5,5,5,5,5,6,5,5,5,5,5,11,2,2,2,2,4,5,5,5,5,8,8,8,5,5,5,5,5,5,6,6,7,7,8,9,3,3,4,4,4,4,5,5,5,5,5,6,6,6,8,9,9,9,6,6,6,6,6,7,7,7,7,7,7,11,5,5,5,5,5,5,4,4,4,6,6,6,6,6,6,6,6,7,6,6,6,6,6,7,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,8,8,5,6,6,6,6,9,0,0,0,0,0,0,6,6,6,6,6,6,2,3,4,5,6,8,7,7,7,7,7,8,6,6,8,8,8,9,3,3,4,4,5,5,8,8,8,8,8,13,
LU122,LU,2,2,2,4,4,5,5,5,5,6,6,6,5,5,5,5,6,6,2,4,5,5,6,7,4,4,4,4,4,5,5,5,5,5,5,7,4,5,5,5,6,7,6,6,6,6,8,8,3,3,3,3,3,3,5,5,5,5,5,6,5,5,5,5,5,7,5,5,5,5,6,8,6,8,8,8,8,8,5,5,5,5,5,6,6,6,6,7,7,7,4,4,4,4,4,4,5,5,5,6,6,6,4,5,5,5,5,10,6,6,6,6,6,6,5,5,7,9,9,10,3,4,5,5,5,5,4,4,5,5,6,7,4,5,6,6,6,10,5,5,5,7,8,8,4,5,5,5,5,6,4,5,5,5,5,5,3,3,5,5,5,5,6,6,6,6,6,7,5,5,5,6,6,6,2,4,4,4,4,4,3,5,6,6,6,6,8,8,8,8,8,8,4,4,5,7,7,7,3,4,5,5,5,7,6,6,7,8,9,10,
PT28,PT,3,4,4,4,4,4,2,2,4,5,6,7,4,5,5,5,5,5,2,2,2,5,5,6,3,3,4,4,4,5,5,5,5,5,5,5,3,4,5,5,6,7,4,5,6,6,8,10,2,3,3,3,5,5,5,5,5,6,6,6,5,5,5,6,7,8,4,4,4,4,5,5,3,5,5,5,5,6,4,5,5,5,5,5,3,3,5,5,5,9,3,4,4,4,4,7,5,5,5,5,5,5,3,5,5,5,7,8,4,6,6,6,6,6,4,4,4,5,7,7,5,5,5,5,5,6,4,4,5,5,8,8,3,4,5,6,6,8,6,6,7,7,7,8,4,6,6,6,6,7,2,2,2,5,5,0,3,4,4,5,5,5,3,4,4,4,5,6,0,0,0,0,0,0,4,4,4,4,4,6,3,5,6,6,6,6,5,5,6,6,6,8,4,4,4,5,7,8,3,4,5,5,5,6,3,3,4,8,8,10,
PT26,PT,2,3,3,5,5,5,2,2,4,5,5,7,5,5,5,5,5,7,2,2,2,5,6,8,4,4,4,4,4,5,5,5,5,5,7,10,3,5,6,6,7,8,5,5,6,6,7,8,2,3,3,3,5,5,5,5,5,6,6,6,5,5,5,5,6,8,3,3,4,4,5,5,3,5,5,5,5,6,4,4,5,5,5,5,5,5,5,5,7,7,4,4,4,4,5,6,4,5,5,5,5,5,5,5,5,5,8,8,6,6,6,6,6,6,3,4,5,6,7,9,3,4,4,4,4,5,4,4,4,5,7,8,3,3,4,5,6,6,4,5,7,8,8,9,4,6,6,6,6,7,2,2,2,3,4,5,3,4,4,5,5,6,3,5,5,5,6,6,5,5,5,6,6,6,4,4,4,4,6,6,3,5,6,6,6,6,7,7,8,8,8,8,4,5,5,5,5,7,2,3,4,5,5,5,6,6,6,6,7,9,
PT27,PT,2,4,4,4,5,6,2,2,2,4,4,4,5,5,5,5,6,7,2,4,5,6,8,9,4,4,4,4,4,5,4,5,5,5,7,10,4,5,6,6,7,8,4,5,6,6,6,8,2,3,3,3,5,5,5,5,5,6,6,6,5,5,5,5,5,5,4,4,4,4,5,5,3,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,8,9,3,4,4,4,4,5,2,5,5,5,5,5,5,5,5,5,5,7,6,6,6,6,6,6,4,4,7,7,7,9,4,4,5,5,5,5,4,4,5,5,7,7,3,3,4,4,6,6,4,4,7,9,9,9,6,6,6,6,6,7,2,2,3,3,5,0,3,4,4,4,5,5,3,5,5,6,6,11,5,5,5,5,6,6,4,4,4,4,4,6,3,5,6,6,6,6,7,7,8,8,8,9,4,5,5,5,7,8,3,5,5,5,5,6,3,7,9,11,12,13,
NL008,NL,0,0,0,0,0,0,4,4,4,4,5,6,5,5,5,5,5,5,2,6,6,6,6,6,0,0,0,0,0,0,5,5,5,5,6,6,0,0,0,0,0,0,6,8,8,8,10,13,3,3,3,3,3,9,5,5,5,6,6,12,5,5,5,5,5,6,4,4,4,5,7,7,4,4,5,5,6,7,0,0,0,0,0,0,5,5,6,7,9,10,4,4,4,4,5,6,0,0,0,0,0,0,5,5,5,5,9,9,6,6,6,6,6,7,7,7,7,8,12,12,0,0,0,0,0,0,5,5,5,6,6,8,0,0,0,0,0,0,5,5,5,5,7,8,5,5,6,6,6,8,0,0,0,0,0,0,0,0,0,0,0,0,4,5,5,5,5,6,0,0,0,0,0,0,2,4,4,4,4,7,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,7,7,9,3,5,5,5,6,0,6,7,7,7,8,11,
PT25,PT,2,2,2,3,4,5,2,2,2,2,6,7,5,5,5,5,6,6,2,2,2,2,5,6,3,3,4,4,4,5,5,5,5,5,5,7,3,3,5,5,5,6,4,6,6,6,10,11,3,3,3,3,5,6,3,5,5,5,5,6,5,5,5,6,6,6,3,4,4,4,6,6,5,5,5,5,6,7,4,5,5,5,5,5,5,5,5,5,7,9,3,4,4,4,4,5,2,4,5,5,5,5,4,5,5,5,5,7,4,6,6,6,6,6,4,4,7,7,7,7,4,5,5,5,5,6,4,4,5,5,6,6,3,5,7,7,7,7,4,4,5,5,7,7,6,6,6,6,6,9,2,2,2,4,5,5,4,4,4,5,5,6,4,4,4,5,6,6,5,6,6,6,6,10,2,4,4,4,4,4,3,5,6,6,6,6,7,7,8,8,8,8,3,4,5,5,6,7,4,5,5,5,6,7,5,6,6,6,6,10,
PT22,PT,2,2,3,4,4,5,2,2,2,2,5,6,4,5,5,5,5,7,2,2,2,5,5,9,3,4,4,4,4,4,5,5,5,5,5,10,3,4,6,6,6,7,6,6,6,8,8,10,3,3,3,3,3,5,5,6,6,6,6,11,5,5,5,5,5,6,4,4,4,5,5,6,3,5,5,5,5,5,4,4,4,5,5,5,5,5,6,6,6,9,3,4,4,4,4,5,2,5,5,5,5,5,5,5,5,5,6,7,6,6,6,6,6,6,4,4,6,7,7,10,5,5,5,5,5,5,4,4,5,6,8,9,3,3,3,5,6,7,3,4,4,5,7,8,4,4,6,6,6,6,2,2,2,2,5,0,3,3,4,5,5,5,3,4,4,6,7,10,6,6,6,6,7,7,2,4,4,4,4,6,5,6,6,7,7,8,7,7,8,8,8,9,5,5,5,6,7,9,3,3,5,5,5,5,7,7,9,10,12,13,
PT23,PT,2,2,2,3,4,5,2,2,2,2,5,6,4,5,5,5,5,7,2,2,5,5,5,9,3,4,4,4,4,4,5,5,5,5,5,10,3,4,6,6,6,7,6,6,6,8,8,10,3,3,3,3,3,5,5,6,6,6,6,11,5,5,5,5,5,7,4,4,4,5,5,6,3,5,5,5,5,7,4,4,4,5,5,5,5,5,6,6,6,9,3,4,4,4,4,5,2,5,5,5,5,5,5,5,5,5,6,7,6,6,6,6,6,6,4,4,6,7,7,10,5,5,5,5,5,5,4,4,4,4,6,8,3,3,3,6,6,7,3,4,4,5,7,8,4,4,6,6,6,6,2,2,2,2,5,0,3,3,4,5,5,5,4,4,4,6,7,10,6,6,6,6,7,7,2,4,4,4,4,6,4,4,5,6,6,7,7,7,8,8,8,9,5,5,5,6,7,9,3,5,5,5,5,5,6,7,7,7,9,12,
